C7 id x y z
39.702816410733 0 1 0 0
39.702816410733 0.027027027027027 1 0.027027027027027 0
39.702816410733 0.054054054054054 1 0.054054054054054 0
39.702816410733 0.081081081081081 1 0.081081081081081 0
67.819237689952 0.10810810810811 1 0.10810810810811 0
67.819237689952 0.13513513513514 1 0.13513513513514 0
67.819237689952 0.16216216216216 1 0.16216216216216 0
67.819237689952 0.18918918918919 1 0.18918918918919 0
94.081434918485 0.21621621621622 1 0.21621621621622 0
94.081434918485 0.24324324324324 1 0.24324324324324 0
94.081434918485 0.27027027027027 1 0.27027027027027 0
94.081434918485 0.2972972972973 1 0.2972972972973 0
118.27104712583 0.32432432432432 1 0.32432432432432 0
118.27104712583 0.35135135135135 1 0.35135135135135 0
118.27104712583 0.37837837837838 1 0.37837837837838 0
139.79716862182 0.40540540540541 1 0.40540540540541 0
139.79716862182 0.43243243243243 1 0.43243243243243 0
139.79716862182 0.45945945945946 1 0.45945945945946 0
139.79716862182 0.48648648648649 1 0.48648648648649 0
158.07040490174 0.51351351351351 1 0.51351351351351 0
158.07040490174 0.54054054054054 1 0.54054054054054 0
158.07040490174 0.56756756756757 1 0.56756756756757 0
158.07040490174 0.59459459459459 1 0.59459459459459 0
173.46755325444 0.62162162162162 1 0.62162162162162 0
173.46755325444 0.64864864864865 1 0.64864864864865 0
173.46755325444 0.67567567567568 1 0.67567567567568 0
185.05523731274 0.7027027027027 1 0.7027027027027 0
185.05523731274 0.72972972972973 1 0.72972972972973 0
185.05523731274 0.75675675675676 1 0.75675675675676 0
185.05523731274 0.78378378378378 1 0.78378378378378 0
193.13720042901 0.81081081081081 1 0.81081081081081 0
193.13720042901 0.83783783783784 1 0.83783783783784 0
193.13720042901 0.86486486486486 1 0.86486486486486 0
193.13720042901 0.89189189189189 1 0.89189189189189 0
197.41338495063 0.91891891891892 1 0.91891891891892 0
197.41338495063 0.94594594594595 1 0.94594594594595 0
197.41338495063 0.97297297297297 1 0.97297297297297 0
197.41338495063 1 1 1 0
197.06373685223 1.027027027027 1 1.027027027027 0
197.06373685223 1.0540540540541 1 1.0540540540541 0
197.06373685223 1.0810810810811 1 1.0810810810811 0
193.29163864652 1.1081081081081 1 1.1081081081081 0
193.29163864652 1.1351351351351 1 1.1351351351351 0
193.29163864652 1.1621621621622 1 1.1621621621622 0
193.29163864652 1.1891891891892 1 1.1891891891892 0
186.00181073071 1.2162162162162 1 1.2162162162162 0
186.00181073071 1.2432432432432 1 1.2432432432432 0
186.00181073071 1.2702702702703 1 1.2702702702703 0
186.00181073071 1.2972972972973 1 1.2972972972973 0
175.03817623073 1.3243243243243 1 1.3243243243243 0
175.03817623073 1.3513513513514 1 1.3513513513514 0
175.03817623073 1.3783783783784 1 1.3783783783784 0
160.72297177563 1.4054054054054 1 1.4054054054054 0
160.72297177563 1.4324324324324 1 1.4324324324324 0
160.72297177563 1.4594594594595 1 1.4594594594595 0
160.72297177563 1.4864864864865 1 1.4864864864865 0
143.00273373045 1.5135135135135 1 1.5135135135135 0
143.00273373045 1.5405405405405 1 1.5405405405405 0
143.00273373045 1.5675675675676 1 1.5675675675676 0
143.00273373045 1.5945945945946 1 1.5945945945946 0
121.44336506508 1.6216216216216 1 1.6216216216216 0
121.44336506508 1.6486486486486 1 1.6486486486486 0
121.44336506508 1.6756756756757 1 1.6756756756757 0
96.091973300481 1.7027027027027 1 1.7027027027027 0
96.091973300481 1.7297297297297 1 1.7297297297297 0
96.091973300481 1.7567567567568 1 1.7567567567568 0
96.091973300481 1.7837837837838 1 1.7837837837838 0
67.411573879364 1.8108108108108 1 1.8108108108108 0
67.411573879364 1.8378378378378 1 1.8378378378378 0
67.411573879364 1.8648648648649 1 1.8648648648649 0
67.411573879364 1.8918918918919 1 1.8918918918919 0
36.61428357394 1.9189189189189 1 1.9189189189189 0
36.61428357394 1.9459459459459 1 1.9459459459459 0
36.61428357394 1.972972972973 1 1.972972972973 0
36.61428357394 2 1 2 0
